tweet,created_at,tokens
tawur jawa barat kang dedi mulyadi kirim siswa nakal barak,Sun May 04 05:34:04 +0000 2025,"['tawur', 'jawa', 'barat', 'kang', 'dedi', 'mulyadi', 'kirim', 'siswa', 'nakal', 'barak']"
popularitas dedi mulyadi roket gubernur jawa barat februari strategi media sosial hasil gaet simpati publik pukau gimik cepat selesai pelbagai tempodotco tempoplus,Sun May 18 08:40:19 +0000 2025,"['popularitas', 'dedi', 'mulyadi', 'roket', 'gubernur', 'jawa', 'barat', 'februari', 'strategi', 'media', 'sosial', 'hasil', 'gaet', 'simpati', 'publik', 'pukau', 'gimik', 'cepat', 'selesai', 'pelbagai', 'tempodotco', 'tempoplus']"
manusia tuhan tentu onana jalan musim mu full terap filosofi total football alias nek remuk yo sing total sis rasah setengahsetengah looooooos,Wed May 21 21:30:45 +0000 2025,"['manusia', 'tuhan', 'tentu', 'onana', 'jalan', 'musim', 'mu', 'full', 'terap', 'filosofi', 'total', 'football', 'alias', 'nek', 'remuk', 'yo', 'sing', 'total', 'sis', 'rasah', 'setengahsetengah', 'looooooos']"
pusing lihat mulyadi pusing gerak gerik efektif hipnotis banyak orang indonesia mulyono,Mon Apr 28 05:42:58 +0000 2025,"['pusing', 'lihat', 'mulyadi', 'pusing', 'gerak', 'gerik', 'efektif', 'hipnotis', 'banyak', 'orang', 'indonesia', 'mulyono']"
kang dedi mulyadi beneran cinta sih bicara suka bilang suka karna ngomongku scene sakit hati moengil sender,Wed May 21 14:41:28 +0000 2025,"['kang', 'dedi', 'mulyadi', 'beneran', 'cinta', 'sih', 'bicara', 'suka', 'bilang', 'suka', 'karna', 'ngomongku', 'scene', 'sakit', 'hati', 'moengil', 'sender']"
sak mono akehe do ngantri pengin ndelok onana ngepil,Wed May 21 19:43:38 +0000 2025,"['sak', 'mono', 'akehe', 'do', 'ngantri', 'pengin', 'ndelok', 'onana', 'ngepil']"
gubernur jawa barat dedi mulyadi hadir gaya politik familiar empatik cepat tanggap bantu video editor hasil konten emosional viral kadang kontroversi citra,Mon May 19 12:17:49 +0000 2025,"['gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'hadir', 'gaya', 'politik', 'familiar', 'empatik', 'cepat', 'tanggap', 'bantu', 'video', 'editor', 'hasil', 'konten', 'emosional', 'viral', 'kadang', 'kontroversi', 'citra']"
kang dedi mulyadi resident playbook lihat ep ken peluk namkyung erat princess beneran dpt scene emotional pd writer pilih scene ep fav writernya jg scene fav ep scene namkyung jg,Sun May 18 15:48:07 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'lihat', 'ep', 'ken', 'peluk', 'namkyung', 'erat', 'princess', 'beneran', 'dpt', 'scene', 'emotional', 'pd', 'writer', 'pilih', 'scene', 'ep', 'fav', 'writernya', 'jg', 'scene', 'fav', 'ep', 'scene', 'namkyung', 'jg']"
ayo diri fans van persie si legenda arsenal pindah fans mu hijrah admin akun liverpool akun diri pegang akun liverpool hati mu biji zarah mu sedih sama,Wed May 21 21:40:33 +0000 2025,"['ayo', 'diri', 'fans', 'van', 'persie', 'si', 'legenda', 'arsenal', 'pindah', 'fans', 'mu', 'hijrah', 'admin', 'akun', 'liverpool', 'akun', 'diri', 'pegang', 'akun', 'liverpool', 'hati', 'mu', 'biji', 'zarah', 'mu', 'sedih', 'sama']"
kang dedi mulyadi resident playbook wkwkkw kacau langsung tahu geng,Sat May 17 15:30:01 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'wkwkkw', 'kacau', 'langsung', 'tahu', 'geng']"
apa kang dedi mulyadi bela orang sunda bohong kang dedi mulyadi tutup mata kanker nomor belit ras sunda judi online tawur masuk barak game masuk barak candu judi online judi online jarang bahas kang dedi mulyadi jarang alas tertawa,Tue May 13 16:44:30 +0000 2025,"['apa', 'kang', 'dedi', 'mulyadi', 'bela', 'orang', 'sunda', 'bohong', 'kang', 'dedi', 'mulyadi', 'tutup', 'mata', 'kanker', 'nomor', 'belit', 'ras', 'sunda', 'judi', 'online', 'tawur', 'masuk', 'barak', 'game', 'masuk', 'barak', 'candu', 'judi', 'online', 'judi', 'online', 'jarang', 'bahas', 'kang', 'dedi', 'mulyadi', 'jarang', 'alas', 'tertawa']"
