tweet,created_at,tokens,sentiment,sentiment_prob
tawur jawa barat kang dedi mulyadi kirim siswa nakal barak,Sun May 04 05:34:04 +0000 2025,"['tawur', 'jawa', 'barat', 'kang', 'dedi', 'mulyadi', 'kirim', 'siswa', 'nakal', 'barak']",negatif,"[0.00025834242114797235, 0.1508179008960724, 0.8489238023757935]"
popularitas dedi mulyadi roket gubernur jawa barat februari strategi media sosial hasil gaet simpati publik pukau gimik cepat selesai pelbagai tempodotco tempoplus,Sun May 18 08:40:19 +0000 2025,"['popularitas', 'dedi', 'mulyadi', 'roket', 'gubernur', 'jawa', 'barat', 'februari', 'strategi', 'media', 'sosial', 'hasil', 'gaet', 'simpati', 'publik', 'pukau', 'gimik', 'cepat', 'selesai', 'pelbagai', 'tempodotco', 'tempoplus']",netral,"[0.0002733735600486398, 0.9995762705802917, 0.00015039010031614453]"
manusia tuhan tentu onana jalan musim mu full terap filosofi total football alias nek remuk yo sing total sis rasah setengahsetengah looooooos,Wed May 21 21:30:45 +0000 2025,"['manusia', 'tuhan', 'tentu', 'onana', 'jalan', 'musim', 'mu', 'full', 'terap', 'filosofi', 'total', 'football', 'alias', 'nek', 'remuk', 'yo', 'sing', 'total', 'sis', 'rasah', 'setengahsetengah', 'looooooos']",negatif,"[0.00046196565381251276, 0.002762551186606288, 0.9967754483222961]"
pusing lihat mulyadi pusing gerak gerik efektif hipnotis banyak orang indonesia mulyono,Mon Apr 28 05:42:58 +0000 2025,"['pusing', 'lihat', 'mulyadi', 'pusing', 'gerak', 'gerik', 'efektif', 'hipnotis', 'banyak', 'orang', 'indonesia', 'mulyono']",negatif,"[0.00014867616118863225, 0.007789861876517534, 0.9920614957809448]"
kang dedi mulyadi beneran cinta sih bicara suka bilang suka karna ngomongku scene sakit hati moengil sender,Wed May 21 14:41:28 +0000 2025,"['kang', 'dedi', 'mulyadi', 'beneran', 'cinta', 'sih', 'bicara', 'suka', 'bilang', 'suka', 'karna', 'ngomongku', 'scene', 'sakit', 'hati', 'moengil', 'sender']",positif,"[0.9983106851577759, 0.0008224814664572477, 0.0008668238297104836]"
sak mono akehe do ngantri pengin ndelok onana ngepil,Wed May 21 19:43:38 +0000 2025,"['sak', 'mono', 'akehe', 'do', 'ngantri', 'pengin', 'ndelok', 'onana', 'ngepil']",negatif,"[0.00013565027620643377, 0.0010077967308461666, 0.9988565444946289]"
gubernur jawa barat dedi mulyadi hadir gaya politik familiar empatik cepat tanggap bantu video editor hasil konten emosional viral kadang kontroversi citra,Mon May 19 12:17:49 +0000 2025,"['gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'hadir', 'gaya', 'politik', 'familiar', 'empatik', 'cepat', 'tanggap', 'bantu', 'video', 'editor', 'hasil', 'konten', 'emosional', 'viral', 'kadang', 'kontroversi', 'citra']",netral,"[0.00015722871467005461, 0.9996544122695923, 0.0001883619697764516]"
kang dedi mulyadi resident playbook lihat ep ken peluk namkyung erat princess beneran dpt scene emotional pd writer pilih scene ep fav writernya jg scene fav ep scene namkyung jg,Sun May 18 15:48:07 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'lihat', 'ep', 'ken', 'peluk', 'namkyung', 'erat', 'princess', 'beneran', 'dpt', 'scene', 'emotional', 'pd', 'writer', 'pilih', 'scene', 'ep', 'fav', 'writernya', 'jg', 'scene', 'fav', 'ep', 'scene', 'namkyung', 'jg']",netral,"[0.0013379406882449985, 0.9982099533081055, 0.0004520863003563136]"
ayo diri fans van persie si legenda arsenal pindah fans mu hijrah admin akun liverpool akun diri pegang akun liverpool hati mu biji zarah mu sedih sama,Wed May 21 21:40:33 +0000 2025,"['ayo', 'diri', 'fans', 'van', 'persie', 'si', 'legenda', 'arsenal', 'pindah', 'fans', 'mu', 'hijrah', 'admin', 'akun', 'liverpool', 'akun', 'diri', 'pegang', 'akun', 'liverpool', 'hati', 'mu', 'biji', 'zarah', 'mu', 'sedih', 'sama']",negatif,"[4.6464720071526244e-05, 0.00037605047691613436, 0.9995774626731873]"
kang dedi mulyadi resident playbook wkwkkw kacau langsung tahu geng,Sat May 17 15:30:01 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'wkwkkw', 'kacau', 'langsung', 'tahu', 'geng']",negatif,"[0.004533252213150263, 0.057595279067754745, 0.937871515750885]"
apa kang dedi mulyadi bela orang sunda bohong kang dedi mulyadi tutup mata kanker nomor belit ras sunda judi online tawur masuk barak game masuk barak candu judi online judi online jarang bahas kang dedi mulyadi jarang alas tertawa,Tue May 13 16:44:30 +0000 2025,"['apa', 'kang', 'dedi', 'mulyadi', 'bela', 'orang', 'sunda', 'bohong', 'kang', 'dedi', 'mulyadi', 'tutup', 'mata', 'kanker', 'nomor', 'belit', 'ras', 'sunda', 'judi', 'online', 'tawur', 'masuk', 'barak', 'game', 'masuk', 'barak', 'candu', 'judi', 'online', 'judi', 'online', 'jarang', 'bahas', 'kang', 'dedi', 'mulyadi', 'jarang', 'alas', 'tertawa']",negatif,"[4.569956217892468e-05, 0.0004665720625780523, 0.9994877576828003]"
dedy mulyadi anjur orang pilih popuri istri harvest moon kirim barak,Fri May 16 12:01:31 +0000 2025,"['dedy', 'mulyadi', 'anjur', 'orang', 'pilih', 'popuri', 'istri', 'harvest', 'moon', 'kirim', 'barak']",netral,"[0.00011121488205390051, 0.9997230172157288, 0.00016575252811890095]"
legenda ikat kepala mulyadi narkoba kawan,Sun Apr 27 16:10:15 +0000 2025,"['legenda', 'ikat', 'kepala', 'mulyadi', 'narkoba', 'kawan']",netral,"[0.00012339638487901539, 0.999464213848114, 0.00041236254037357867]"
kang dedi mulyadi lee dohyun resmi selesai wajib militer welcome back,Mon May 12 23:49:31 +0000 2025,"['kang', 'dedi', 'mulyadi', 'lee', 'dohyun', 'resmi', 'selesai', 'wajib', 'militer', 'welcome', 'back']",netral,"[0.00012127919035265222, 0.9996411800384521, 0.00023753533605486155]"
debat kang dedi mulyadi vs anies kang dedi mulyadi vs pramono relate orang jatim soale gubernur e kaliber,Thu May 15 09:15:08 +0000 2025,"['debat', 'kang', 'dedi', 'mulyadi', 'vs', 'anies', 'kang', 'dedi', 'mulyadi', 'vs', 'pramono', 'relate', 'orang', 'jatim', 'soale', 'gubernur', 'e', 'kaliber']",netral,"[0.0001988212752621621, 0.9996829032897949, 0.0001183756539830938]"
kang dedi mulyadi ahn hyoseop bal coy cr tiktok velisavediana,Sat May 17 10:38:26 +0000 2025,"['kang', 'dedi', 'mulyadi', 'ahn', 'hyoseop', 'bal', 'coy', 'cr', 'tiktok', 'velisavediana']",netral,"[0.0002522221184335649, 0.9995819926261902, 0.00016571523156017065]"
pyo namkyung amp ham dongho kang dedi mulyadi,Mon May 19 13:04:31 +0000 2025,"['pyo', 'namkyung', 'amp', 'ham', 'dongho', 'kang', 'dedi', 'mulyadi']",netral,"[0.0007425507646985352, 0.9979795813560486, 0.0012778962263837457]"
kang dedi mulyadi first still cuts for drama head over heels starring cho yihyun choo youngwoo cha kangyoon siswi sma beprofesi shaman usaha selamat pria suka arwah sial,Wed May 21 02:22:39 +0000 2025,"['kang', 'dedi', 'mulyadi', 'first', 'still', 'cuts', 'for', 'drama', 'head', 'over', 'heels', 'starring', 'cho', 'yihyun', 'choo', 'youngwoo', 'cha', 'kangyoon', 'siswi', 'sma', 'beprofesi', 'shaman', 'usaha', 'selamat', 'pria', 'suka', 'arwah', 'sial']",netral,"[0.0005098979454487562, 0.9992490410804749, 0.00024096659035421908]"
apes dedi mulyadi adu mulut warga sekian citra sbg goodman musnah saat,Fri May 16 02:23:49 +0000 2025,"['apes', 'dedi', 'mulyadi', 'adu', 'mulut', 'warga', 'sekian', 'citra', 'sbg', 'goodman', 'musnah', 'saat']",negatif,"[3.448480129009113e-05, 0.0002648661029525101, 0.999700665473938]"
dedi mulyadi harga beras ribut dunia serasa kiamat harga skincare diam,Thu Feb 29 03:01:31 +0000 2024,"['dedi', 'mulyadi', 'harga', 'beras', 'ribut', 'dunia', 'serasa', 'kiamat', 'harga', 'skincare', 'diam']",negatif,"[3.64299448847305e-05, 0.00039551572990603745, 0.9995680451393127]"
dedi mulyadi beras skincare,Wed Feb 28 12:30:07 +0000 2024,"['dedi', 'mulyadi', 'beras', 'skincare']",netral,"[0.0002025106077780947, 0.9996172189712524, 0.00018023556913249195]"
dedi mulyadi jakarta duduk bawah juta apbdnya t jakarta juta juta kepala keluarga orang jakarta gaji kepala keluarga juta juta kali juta t gubernur,Sat May 10 01:00:02 +0000 2025,"['dedi', 'mulyadi', 'jakarta', 'duduk', 'bawah', 'juta', 'apbdnya', 't', 'jakarta', 'juta', 'juta', 'kepala', 'keluarga', 'orang', 'jakarta', 'gaji', 'kepala', 'keluarga', 'juta', 'juta', 'kali', 'juta', 't', 'gubernur']",netral,"[9.013179806061089e-05, 0.999649167060852, 0.00026070253807120025]"
halo kang dedi mulyadi barak main bola balas gpl,Wed May 21 12:31:24 +0000 2025,"['halo', 'kang', 'dedi', 'mulyadi', 'barak', 'main', 'bola', 'balas', 'gpl']",netral,"[0.00046683577238582075, 0.9993247985839844, 0.0002083983417833224]"
komisi lindung anak indonesia kpai ungkap praktik intimidatif laksana program didik karakter bas barak militer besut gubernur jawa barat dedi mulyadi tempoheadliner,Fri May 16 07:48:57 +0000 2025,"['komisi', 'lindung', 'anak', 'indonesia', 'kpai', 'ungkap', 'praktik', 'intimidatif', 'laksana', 'program', 'didik', 'karakter', 'bas', 'barak', 'militer', 'besut', 'gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'tempoheadliner']",netral,"[9.933516412274912e-05, 0.9997115731239319, 0.00018903969612438232]"
kirim kang dedi mulyadi barak,Wed Apr 30 09:33:58 +0000 2025,"['kirim', 'kang', 'dedi', 'mulyadi', 'barak']",netral,"[0.0006947436486370862, 0.9990799427032471, 0.00022528442787006497]"
kang dedi mulyadi nih syuting signal season cr tto,Tue May 13 01:30:58 +0000 2025,"['kang', 'dedi', 'mulyadi', 'nih', 'syuting', 'signal', 'season', 'cr', 'tto']",netral,"[0.00028292828937992454, 0.9994924068450928, 0.00022456365695688874]"
kang dedi mulyadi hospital playlist x resident playbook cewek yulje kejar,Wed May 21 15:02:52 +0000 2025,"['kang', 'dedi', 'mulyadi', 'hospital', 'playlist', 'x', 'resident', 'playbook', 'cewek', 'yulje', 'kejar']",netral,"[0.00019758971757255495, 0.9996224641799927, 0.0001799289311747998]"
kang dedi tolong bawa dontol barak militer kang dedi nyebelin,Thu May 15 02:06:42 +0000 2025,"['kang', 'dedi', 'tolong', 'bawa', 'dontol', 'barak', 'militer', 'kang', 'dedi', 'nyebelin']",netral,"[0.00010850071703316644, 0.9989113807678223, 0.000980137730948627]"
kang dedi mulyadi lihat dear hongrang salah fokus cinematographynya gilak ostnya bagus finish berani lihat abis feeling jdi another ktrauma,Mon May 19 16:54:51 +0000 2025,"['kang', 'dedi', 'mulyadi', 'lihat', 'dear', 'hongrang', 'salah', 'fokus', 'cinematographynya', 'gilak', 'ostnya', 'bagus', 'finish', 'berani', 'lihat', 'abis', 'feeling', 'jdi', 'another', 'ktrauma']",positif,"[0.9982373714447021, 0.0015683358069509268, 0.00019437340961303562]"
kang dedi mulyadi resident playbook dowon yiyong mata nya ilang,Mon May 12 12:47:18 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'dowon', 'yiyong', 'mata', 'nya', 'ilang']",netral,"[0.00026104558492079377, 0.9922054409980774, 0.007533528842031956]"
kang dedi mulyadi hiboyz food truck fanclub resmi nya hello girl ngirim fansnya orang kayakaya tuh orang ngirim foodtruck,Wed May 21 00:24:09 +0000 2025,"['kang', 'dedi', 'mulyadi', 'hiboyz', 'food', 'truck', 'fanclub', 'resmi', 'nya', 'hello', 'girl', 'ngirim', 'fansnya', 'orang', 'kayakaya', 'tuh', 'orang', 'ngirim', 'foodtruck']",netral,"[0.0008401736849918962, 0.9987367987632751, 0.00042296151514165103]"
kang dedi mulyadi tastefully yours selamat siang kimbab couple bayibayi kimbab nih absen,Wed May 21 05:35:43 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'selamat', 'siang', 'kimbab', 'couple', 'bayibayi', 'kimbab', 'nih', 'absen']",netral,"[0.14912834763526917, 0.8471199870109558, 0.003751635318621993]"
kang dedi mulyadi remaja tawur masuk barak pramono biar tawur bina taman pustaka khofifah,Thu May 15 11:30:45 +0000 2025,"['kang', 'dedi', 'mulyadi', 'remaja', 'tawur', 'masuk', 'barak', 'pramono', 'biar', 'tawur', 'bina', 'taman', 'pustaka', 'khofifah']",netral,"[0.0001247098989551887, 0.9992275238037109, 0.0006478146533481777]"
kang dedi mulyadi kelas kirim barak,Mon May 19 14:51:47 +0000 2025,"['kang', 'dedi', 'mulyadi', 'kelas', 'kirim', 'barak']",netral,"[0.00016604263510089368, 0.999650239944458, 0.00018370307225268334]"
gua kuliah kerja main jakarta gua tolong kagum banget bijak transumnya abw gua ngerasa aneh sih orang kagum kang dedi mulyadi vasektomi barak militerisme dasar jawa barat nyentuh akar masalah,Thu May 15 13:14:10 +0000 2025,"['gua', 'kuliah', 'kerja', 'main', 'jakarta', 'gua', 'tolong', 'kagum', 'banget', 'bijak', 'transumnya', 'abw', 'gua', 'ngerasa', 'aneh', 'sih', 'orang', 'kagum', 'kang', 'dedi', 'mulyadi', 'vasektomi', 'barak', 'militerisme', 'dasar', 'jawa', 'barat', 'nyentuh', 'akar', 'masalah']",positif,"[0.9970731735229492, 0.0018473061500117183, 0.0010795195121318102]"
